x,y,elevation,label
318204.1938,77950.45201,71.343033,land
318205.1941,77950.45201,71.393539,land
318206.1943,77950.45201,71.384468,land
318207.1946,77950.45201,71.348267,land
318208.1949,77950.45201,71.384369,land
318209.1951,77950.45201,71.435143,land
318210.1954,77950.45201,71.49762,land
318211.1956,77950.45201,71.574089,land
318212.1959,77950.45201,71.576103,land
318213.1962,77950.45201,71.567818,land
318214.1964,77950.45201,71.580284,land
318215.1967,77950.45201,71.638367,land
318216.197,77950.45201,71.667786,land
318217.1972,77950.45201,71.609772,land
318218.1975,77950.45201,71.623444,land
318219.1977,77950.45201,71.653183,land
318220.198,77950.45201,71.699005,land
318221.1983,77950.45201,71.757233,land
318222.1985,77950.45201,71.833771,land
318223.1988,77950.45201,71.758453,land
318224.1991,77950.45201,71.696472,land
318225.1993,77950.45201,71.88253,land
318226.1996,77950.45201,72.157524,land
318227.1999,77950.45201,72.28846,land
318228.2001,77950.45201,72.27401,land
318229.2004,77950.45201,72.271675,land
318230.2006,77950.45201,72.270302,land
318231.2009,77950.45201,72.264389,land
318232.2012,77950.45201,72.27935,land
318233.2014,77950.45201,72.314873,land
318234.2017,77950.45201,72.298286,land
318235.202,77950.45201,72.341316,land
318236.2022,77950.45201,72.305794,land
318237.2025,77950.45201,72.321548,land
318238.2027,77950.45201,72.361305,land
318239.203,77950.45201,72.363174,land
318240.2033,77950.45201,72.334229,land
318241.2035,77950.45201,72.344162,land
318242.2038,77950.45201,72.348289,land
318243.2041,77950.45201,72.35762,land
318244.2043,77950.45201,72.437859,land
318245.2046,77950.45201,72.458664,land
318246.2049,77950.45201,72.469162,land
318247.2051,77950.45201,72.50116,land
318248.2054,77950.45201,72.484421,land
318249.2056,77950.45201,72.418869,land
318250.2059,77950.45201,72.37252,land
318251.2062,77950.45201,72.36705,land
318252.2064,77950.45201,72.330536,land
318253.2067,77950.45201,72.201233,land
318254.207,77950.45201,72.07563,land
318255.2072,77950.45201,71.907219,land
318256.2075,77950.45201,71.871185,land
318257.2078,77950.45201,71.938972,land
318258.208,77950.45201,71.906891,land
318259.2083,77950.45201,71.878975,land
318260.2085,77950.45201,71.864357,land
318261.2088,77950.45201,71.871155,land
318262.2091,77950.45201,71.829422,land
318263.2093,77950.45201,71.759819,land
318264.2096,77950.45201,71.728508,land
318265.2099,77950.45201,71.688881,land
318266.2101,77950.45201,71.682724,land
318267.2104,77950.45201,71.640022,land
318268.2106,77950.45201,71.712219,land
318269.2109,77950.45201,71.672112,land
318270.2112,77950.45201,71.595474,land
318271.2114,77950.45201,71.597862,land
318272.2117,77950.45201,71.571037,land
318273.212,77950.45201,71.691635,land
318274.2122,77950.45201,71.968445,land
318275.2125,77950.45201,72.13147,land
318276.2128,77950.45201,72.183624,land
318277.213,77950.45201,71.744949,land
318278.2133,77950.45201,71.413322,land
318279.2135,77950.45201,71.294365,land
318280.2138,77950.45201,71.258194,land
318281.2141,77950.45201,71.227303,land
318282.2143,77950.45201,71.138092,land
318283.2146,77950.45201,70.979485,land
318284.2149,77950.45201,70.839668,land
318285.2151,77950.45201,70.738968,land
318286.2154,77950.45201,70.641388,land
318287.2156,77950.45201,70.499809,land
318288.2159,77950.45201,70.353035,land
318289.2162,77950.45201,70.294846,land
318290.2164,77950.45201,70.179626,land
318291.2167,77950.45201,70.038437,land
318292.217,77950.45201,69.953712,land
318293.2172,77950.45201,69.96917,land
318294.2175,77950.45201,70.013008,land
318295.2178,77950.45201,69.99617,land
318296.218,77950.45201,69.795021,land
318297.2183,77950.45201,69.66349,land
318298.2185,77950.45201,69.659599,land
318299.2188,77950.45201,69.632256,land
318300.2191,77950.45201,69.613853,land
318301.2193,77950.45201,69.626831,land
318302.2196,77950.45201,69.571297,land
318303.2199,77950.45201,69.545143,land
318304.2201,77950.45201,69.585434,land
318305.2204,77950.45201,69.597198,land
318306.2207,77950.45201,69.616837,land
318307.2209,77950.45201,69.64753,land
318308.2212,77950.45201,69.648422,land
318309.2214,77950.45201,69.71344,land
318310.2217,77950.45201,69.741051,land
318311.222,77950.45201,69.803772,land
318312.2222,77950.45201,69.838432,land
318313.2225,77950.45201,69.852371,land
318314.2228,77950.45201,69.966362,land
318315.223,77950.45201,70.031479,land
318316.2233,77950.45201,70.125031,land
318317.2235,77950.45201,70.147896,land
318318.2238,77950.45201,70.148094,land
318319.2241,77950.45201,70.143005,land
318320.2243,77950.45201,70.176796,land
318321.2246,77950.45201,70.205727,land
318322.2249,77950.45201,70.236519,land
318323.2251,77950.45201,70.294067,land
318324.2254,77950.45201,70.203644,land
318325.2257,77950.45201,70.067993,land
318326.2259,77950.45201,69.979172,land
318327.2262,77950.45201,69.862106,land
318328.2264,77950.45201,69.725655,land
318329.2267,77950.45201,69.418312,land
318330.227,77950.45201,69.019798,land
318331.2272,77950.45201,68.472908,land
318332.2275,77950.45201,67.943199,land
318333.2278,77950.45201,67.650841,land
318334.228,77950.45201,67.535576,land
318335.2283,77950.45201,67.508606,land
318336.2285,77950.45201,67.537323,land
318337.2288,77950.45201,67.488266,land
318338.2291,77950.45201,67.391342,land
318339.2293,77950.45201,67.416039,land
318340.2296,77950.45201,67.468231,land
318341.2299,77950.45201,67.470833,land
318342.2301,77950.45201,67.468353,land
318343.2304,77950.45201,67.506111,land
318344.2307,77950.45201,67.501175,land
318345.2309,77950.45201,67.465508,land
